,team,date,elo
1,Spain,2026-06-08,2174.1
2,Argentina,2026-06-09,2165.4
3,France,2026-06-08,2124.0
4,England,2026-06-10,2076.5
5,Brazil,2026-06-06,2060.0
6,Colombia,2026-06-07,2043.8
7,Portugal,2026-06-10,2033.1
8,Ecuador,2026-06-07,2015.5
9,Netherlands,2026-06-08,2008.1
10,Germany,2026-06-06,2000.7
11,Japan,2026-05-31,1998.5
12,Morocco,2026-06-07,1982.9
13,Belgium,2026-06-06,1977.8
14,Croatia,2026-06-07,1973.0
15,Uruguay,2026-03-31,1963.9
16,Mexico,2026-06-11,1957.2
17,Norway,2026-06-07,1951.8
18,Turkey,2026-06-06,1947.7
19,Switzerland,2026-06-06,1936.1
20,Italy,2026-06-07,1920.6
21,Paraguay,2026-06-05,1914.2
22,Denmark,2026-06-07,1912.9
23,South Korea,2026-06-11,1907.2
24,Senegal,2026-06-09,1904.4
25,Australia,2026-06-06,1900.7
26,Iran,2026-06-04,1893.0
27,Algeria,2026-06-10,1891.4
28,Canada,2026-06-05,1885.7
29,Austria,2026-06-01,1884.1
30,Yugoslavia,1992-03-25,1872.8
31,Ukraine,2026-06-07,1845.9
32,Russia,2026-06-09,1843.0
33,Nigeria,2026-06-10,1840.7
34,Scotland,2026-06-06,1838.2
35,Panama,2026-06-06,1826.6
36,United States,2026-06-06,1822.6
37,Uzbekistan,2026-06-08,1813.3
38,Jersey,2025-07-18,1803.3
39,Ivory Coast,2026-06-04,1802.6
40,Venezuela,2026-06-09,1802.2
41,Czechoslovakia,1993-11-17,1800.1
42,Basque Country,2025-11-15,1794.9
43,Chile,2026-06-09,1793.5
44,Egypt,2026-06-06,1788.7
45,Greece,2026-06-07,1785.2
46,Serbia,2026-06-04,1779.9
47,Poland,2026-06-03,1775.7
48,Czech Republic,2026-06-11,1774.5
49,Hungary,2026-06-09,1768.4
50,Jordan,2026-06-07,1765.5
51,Peru,2026-06-08,1764.7
52,Sweden,2026-06-04,1757.3
53,Tunisia,2026-06-06,1756.6
54,Republic of Ireland,2026-06-05,1755.4
55,Kosovo,2026-06-07,1751.3
56,DR Congo,2026-06-09,1751.3
57,Guernsey,2023-07-13,1744.8
58,Wales,2026-06-06,1737.1
59,Iraq,2026-06-09,1734.1
60,German DR,1990-09-12,1729.2
61,Costa Rica,2026-06-10,1728.9
62,Padania,2019-06-08,1727.2
63,Occitania,2014-12-30,1724.2
64,Slovenia,2026-06-07,1723.9
65,Slovakia,2026-06-05,1723.3
66,New Zealand,2026-06-06,1721.1
67,Mali,2026-06-04,1716.9
68,Bolivia,2026-06-10,1712.9
69,Northern Cyprus,2018-06-09,1711.4
70,Iraqi Kurdistan,2016-06-04,1710.8
71,Cameroon,2026-03-31,1710.2
72,Isle of Man,2025-07-18,1709.0
73,Haiti,2026-06-05,1705.7
74,Georgia,2026-06-05,1692.3
75,Saudi Arabia,2026-06-09,1691.7
76,Honduras,2026-06-06,1688.8
77,Israel,2026-06-03,1685.9
78,Romania,2026-06-06,1685.5
79,Albania,2026-06-06,1666.6
80,Burkina Faso,2026-06-09,1665.5
81,United Arab Emirates,2025-12-15,1664.0
82,Isle of Wight,2023-07-13,1660.0
83,Northern Ireland,2026-06-08,1658.5
84,Jamaica,2026-06-06,1658.1
85,Catalonia,2019-03-25,1652.2
86,North Macedonia,2026-06-01,1646.0
87,South Africa,2026-06-11,1643.8
88,Cape Verde,2026-06-06,1643.6
89,Bosnia and Herzegovina,2026-06-06,1643.3
90,Ynys Môn,2025-07-17,1639.7
91,Abkhazia,2019-06-08,1633.4
92,Iceland,2026-06-09,1632.0
93,Guatemala,2026-06-07,1630.9
94,Ghana,2026-06-02,1629.9
95,Kárpátalja,2018-06-09,1609.9
96,Finland,2026-06-05,1608.6
97,Curaçao,2026-06-06,1605.1
98,New Caledonia,2026-03-26,1602.7
99,County of Nice,2015-06-21,1598.9
100,Kernow,2023-07-16,1596.1
101,Syria,2026-06-05,1595.3
102,Andalusia,2013-06-07,1593.1
103,Rhodes,2011-06-27,1591.3
104,Panjab,2019-12-29,1590.4
105,Suriname,2026-03-26,1589.7
106,Palestine,2026-06-09,1587.9
107,Réunion,2023-09-02,1584.0
108,Tamil Eelam,2025-07-04,1582.3
109,Belarus,2026-06-09,1581.5
110,Guinea,2026-06-04,1579.1
111,Angola,2026-06-09,1578.3
112,Oman,2026-06-05,1575.6
113,Ellan Vannin,2018-06-03,1575.5
114,Kurdistan,2013-06-28,1567.0
115,Menorca,2023-07-13,1564.3
116,Zanzibar,2025-01-13,1558.3
117,Corsica,2017-05-26,1556.3
118,Arameans Suryoye,2014-06-08,1556.1
119,Artsakh,2019-06-08,1555.7
120,China,2026-06-09,1555.5
121,Qatar,2026-06-06,1555.4
122,Yorkshire,2019-06-01,1553.5
123,Zambia,2026-03-31,1553.3
124,Chameria,2023-07-01,1553.1
125,Quebec,2013-06-27,1546.2
126,Cascadia,2019-05-25,1545.4
127,Benin,2026-06-09,1543.8
128,Gabon,2026-03-30,1541.1
129,Gambia,2026-05-29,1539.2
130,Bulgaria,2026-06-05,1536.6
131,Bahrain,2026-06-05,1536.1
132,Trinidad and Tobago,2026-06-09,1535.8
133,Thailand,2026-06-09,1533.0
134,Guadeloupe,2025-06-24,1532.3
135,Libya,2026-03-31,1528.6
136,Galicia,2024-05-21,1528.5
137,Maule Sur,2022-06-19,1528.3
138,Uganda,2025-12-30,1528.2
139,Western Armenia,2019-06-09,1522.9
140,Asturias,1923-02-25,1520.5
141,Surrey,2018-05-06,1516.2
142,Canary Islands,2007-12-29,1515.2
143,Biafra,2022-05-25,1515.0
144,Montenegro,2026-06-05,1514.6
145,Felvidék,2017-06-09,1514.6
146,Parishes of Jersey,2019-06-02,1513.8
147,Tahiti,2025-03-21,1513.3
148,Elba Island,2022-07-16,1513.3
149,Donetsk PR,2017-08-31,1512.3
150,Madagascar,2026-06-02,1509.3
151,Mapuche,2022-06-18,1508.5
152,United Koreans in Japan,2018-06-09,1507.8
153,Kazakhstan,2026-06-09,1507.7
154,Silesia,2006-12-09,1506.9
155,Crimea,2006-11-25,1504.9
156,Indonesia,2026-06-09,1504.6
157,Brittany,2013-05-28,1504.2
158,North Korea,2025-06-10,1504.0
159,Shetland,2025-07-17,1500.9
160,Délvidék,2016-08-03,1500.4
161,Mozambique,2026-06-09,1500.1
162,Niger,2026-06-08,1499.1
163,El Salvador,2026-06-06,1498.9
164,Székely Land,2023-07-02,1498.2
165,Sápmi,2023-07-16,1496.8
166,Central Spain,1923-11-25,1495.3
167,Nicaragua,2026-06-05,1495.0
168,Togo,2026-06-09,1495.0
169,Saugeais,2013-06-29,1493.5
170,Cilento,2011-12-29,1491.3
171,Malaysia,2025-11-18,1489.8
172,Madrid,2013-06-07,1489.5
173,Luhansk PR,2019-12-08,1489.3
174,North Vietnam,1970-09-20,1487.8
175,Seborga,2014-08-10,1486.4
176,Matabeleland,2022-05-25,1485.0
177,Guyana,2026-03-30,1484.8
178,Martinique,2026-03-29,1484.2
179,Yoruba Nation,2022-05-23,1483.6
180,Sealand,2014-08-10,1483.0
181,Zimbabwe,2026-05-30,1480.9
182,Republic of St. Pauli,2006-06-03,1480.8
183,Sudan,2026-01-03,1480.6
184,Comoros,2026-06-09,1479.3
185,Somaliland,2019-05-04,1478.5
186,Vietnam,2026-03-26,1477.8
187,South Ossetia,2019-12-08,1475.5
188,Ryūkyū,2016-11-26,1475.0
189,Kenya,2026-06-04,1474.1
190,West Papua,2022-11-13,1473.6
191,Åland Islands,2023-07-13,1473.4
192,Kuwait,2026-06-05,1473.3
193,Sierra Leone,2026-06-09,1471.9
194,Franconia,2019-06-25,1471.3
195,South Yemen,1982-11-25,1468.1
196,Dominican Republic,2026-06-03,1466.3
197,Greenland,2024-06-01,1465.9
198,Romani people,2016-05-16,1465.8
199,Aymara,2022-06-19,1463.2
200,Luxembourg,2026-06-06,1462.0
201,Provence,2013-06-28,1461.3
202,Hmong,2023-08-08,1460.3
203,Kabylia,2018-06-09,1457.1
204,Kyrgyzstan,2026-06-09,1456.7
205,Papua New Guinea,2025-11-23,1456.3
206,Mayotte,2023-08-26,1456.0
207,East Turkestan,2025-07-04,1454.0
208,French Guiana,2024-11-19,1453.2
209,Chechnya,2006-02-18,1451.3
210,Lebanon,2025-11-26,1450.0
211,Equatorial Guinea,2026-06-09,1448.1
212,Mauritania,2026-06-08,1446.4
213,Saarland,1956-06-06,1446.3
214,Rwanda,2026-03-30,1445.0
215,Gotland,2017-06-29,1444.1
216,Vanuatu,2026-06-06,1443.5
217,Armenia,2026-06-09,1439.9
218,Liberia,2026-06-09,1438.4
219,Malawi,2026-06-09,1437.0
220,Monaco,2017-04-29,1436.6
221,Tajikistan,2026-06-09,1435.5
222,Western Isles,2025-07-17,1433.9
223,Namibia,2026-03-28,1431.1
224,Manchukuo,1942-08-09,1430.4
225,Faroe Islands,2026-06-09,1430.2
226,Găgăuzia,2006-11-21,1429.7
227,Niue,1983-08-22,1427.2
228,Fiji,2026-06-06,1426.4
229,Cuba,2026-03-29,1423.3
230,Palau,1998-08-01,1421.5
231,Gozo,2025-07-17,1420.6
232,Estonia,2026-06-09,1419.0
233,Marshall Islands,2025-08-16,1417.6
234,Lesotho,2026-06-04,1416.6
235,Saint Barthélemy,2023-03-10,1414.3
236,Tanzania,2026-03-29,1411.0
237,Vatican City,2022-04-22,1408.4
238,Ticino,2023-08-06,1406.3
239,Western Australia,1980-11-25,1401.6
240,Botswana,2026-03-31,1399.8
241,Azerbaijan,2026-06-09,1397.5
242,Orkney,2025-07-17,1397.1
243,Western Sahara,2013-06-28,1396.2
244,Ethiopia,2026-06-09,1393.9
245,Turkmenistan,2025-11-18,1393.2
246,Burundi,2026-05-26,1392.6
247,Two Sicilies,2023-07-02,1385.9
248,Raetia,2023-08-06,1381.4
249,Guinea-Bissau,2026-03-31,1374.0
250,Solomon Islands,2026-03-30,1373.4
251,Cyprus,2026-06-07,1366.5
252,Central African Republic,2026-06-09,1362.5
253,Barawa,2019-05-25,1359.9
254,Yemen DPR,1989-11-05,1358.8
255,Chagos Islands,2019-12-29,1358.3
256,Vietnam Republic,1975-03-23,1352.2
257,Malta,2026-06-05,1351.2
258,Puerto Rico,2026-06-05,1350.3
259,Saint Vincent and the Grenadines,2026-03-29,1348.9
260,Lithuania,2026-06-09,1346.1
261,Saint Helena,2023-07-13,1344.3
262,Philippines,2026-06-09,1344.2
263,Hitra,2025-07-17,1343.3
264,Bermuda,2026-06-06,1341.2
265,Saare County,2017-06-29,1340.9
266,Latvia,2026-06-09,1338.9
267,Micronesia,2003-07-07,1328.8
268,Sark,2003-07-03,1327.7
269,Congo,2025-10-14,1327.0
270,Hong Kong,2026-06-09,1319.2
271,Eswatini,2025-10-13,1316.9
272,Moldova,2026-06-09,1312.6
273,Ambazonia,2007-06-07,1312.1
274,Yemen,2025-11-26,1311.4
275,Singapore,2026-06-05,1298.4
276,Wallis Islands and Futuna,1995-08-20,1295.9
277,Sint Maarten,2026-03-30,1292.7
278,Saint Martin,2026-03-29,1290.8
279,Saint Pierre and Miquelon,2012-09-28,1289.2
280,Grenada,2026-05-16,1287.0
281,Belize,2026-03-30,1286.1
282,Saint Kitts and Nevis,2026-03-30,1273.6
283,South Sudan,2025-11-25,1267.8
284,Tibet,2025-07-03,1266.9
285,Samoa,2024-11-18,1250.6
286,Chad,2025-11-17,1246.6
287,India,2026-06-09,1243.7
288,Montserrat,2025-06-10,1240.1
289,Kiribati,2011-09-05,1234.5
290,Saint Lucia,2026-03-27,1229.5
291,Tuvalu,2023-11-30,1219.6
292,Aruba,2026-06-06,1218.9
293,Falkland Islands,2023-07-13,1214.5
294,Mauritius,2025-10-13,1207.4
295,Darfur,2014-06-07,1201.9
296,Eritrea,2019-09-10,1200.5
297,Frøya,2025-07-17,1194.4
298,São Tomé and Príncipe,2025-10-13,1181.9
299,Dominica,2026-03-30,1177.2
300,Afghanistan,2026-06-10,1172.3
301,Cook Islands,2024-09-06,1147.4
302,Andorra,2026-06-07,1144.4
303,Myanmar,2026-06-09,1138.6
304,Gibraltar,2026-06-06,1135.8
305,Bangladesh,2026-06-05,1134.7
306,Antigua and Barbuda,2025-11-18,1134.5
307,Barbados,2026-03-29,1132.5
308,Bonaire,2026-06-06,1132.5
309,Pakistan,2026-06-10,1122.0
310,Nepal,2025-11-18,1105.6
311,Cambodia,2026-06-09,1079.2
312,Alderney,2022-04-23,1076.0
313,Djibouti,2025-11-26,1075.9
314,Tonga,2024-09-09,1073.1
315,Taiwan,2025-11-18,1062.1
316,Somalia,2025-11-26,1062.0
317,Cayman Islands,2026-06-06,1045.5
318,British Virgin Islands,2026-06-06,1033.2
319,Sri Lanka,2025-11-18,1014.5
320,Seychelles,2025-10-14,1011.8
321,Turks and Caicos Islands,2025-08-16,1010.8
322,Maldives,2026-06-01,1010.5
323,Liechtenstein,2026-06-07,998.6
324,United States Virgin Islands,2026-03-28,993.6
325,Mongolia,2026-06-05,983.8
326,Guam,2026-06-06,979.4
327,Northern Mariana Islands,2024-04-07,970.7
328,Bahamas,2026-03-29,962.7
329,Laos,2025-11-19,941.2
330,American Samoa,2026-03-28,934.4
331,Timor-Leste,2025-11-18,907.0
332,Anguilla,2026-03-29,906.0
333,San Marino,2026-06-09,896.0
334,Brunei,2025-11-18,893.6
335,Bhutan,2026-06-04,862.3
336,Macau,2026-03-29,841.1
